participant,phase_approx,n_sessions,mean_K_correct,mean_I_set1,mean_A_capped,mean_R_residual,overflow_sessions
Alex,BL,5,0,0.0,0.0,5.0,0
Alex,Intervention_10_targets,32,1.583,2.906,4.094,0.906,0
Alex,Intervention_5_targets,22,1.667,1.636,3.227,1.773,0
Alex,Teaching,2,0,0.0,0.0,5.0,0
Aden,BL,9,0,0.0,0.0,5.0,0
Aden,Intervention_10_targets,24,1.667,3.792,4.625,0.375,0
Aden,Intervention_5_targets,6,2.0,1.167,3.167,1.833,0
Ida,BL,13,1.0,0.0,0.308,4.692,0
Ida,Intervention_10_targets,10,1.4,1.5,2.9,2.1,0
Ida,Intervention_5_targets,3,4.667,0.0,4.667,0.333,0
